Iteracion	Nombre	Promedio	Desviacion	Error(2sigma/raiz(n)*promedio)
Test 0
Occupation In
0	ABB_OccIn(2^10)	65552.0	0.0	0.0
0	AVL_OccIn(2^10)	73856.0	0.0	0.0
0	SPL_OccIn(2^10)	32824.0	0.0	0.0
0	VEB_OccIn(2^10)	16.0	0.0	0.0
0	ABB_OccIn(2^11)	131088.0	0.0	0.0
0	AVL_OccIn(2^11)	148176.0	0.0	0.0
0	SPL_OccIn(2^11)	65592.0	0.0	0.0
0	VEB_OccIn(2^11)	16.0	0.0	0.0
0	ABB_OccIn(2^12)	262160.0	0.0	0.0
0	AVL_OccIn(2^12)	295984.0	0.0	0.0
0	SPL_OccIn(2^12)	131128.0	0.0	0.0
0	VEB_OccIn(2^12)	16.0	0.0	0.0
0	ABB_OccIn(2^13)	524304.0	0.0	0.0
0	AVL_OccIn(2^13)	593264.0	0.0	0.0
0	SPL_OccIn(2^13)	262200.0	0.0	0.0
0	VEB_OccIn(2^13)	16.0	0.0	0.0
0	ABB_OccIn(2^14)	1048592.0	0.0	0.0
0	AVL_OccIn(2^14)	1185648.0	0.0	0.0
0	SPL_OccIn(2^14)	524312.0	0.0	0.0
0	VEB_OccIn(2^14)	16.0	0.0	0.0
0	ABB_OccIn(2^15)	2097168.0	0.0	0.0
0	AVL_OccIn(2^15)	2369824.0	0.0	0.0
0	SPL_OccIn(2^15)	1048600.0	0.0	0.0
0	VEB_OccIn(2^15)	16.0	0.0	0.0
Occupation Out
0	ABB_OccOut(2^14)	1048592.0	0.0	0.0
0	AVL_OccOut(2^14)	2369824.0	0.0	0.0
0	SPL_OccOut(2^14)	1048568.0	0.0	0.0
0	VEB_OccOut(2^14)	16.0	0.0	0.0
0	ABB_OccOut(2^13)	524304.0	0.0	0.0
0	AVL_OccOut(2^13)	2369824.0	0.0	0.0
0	SPL_OccOut(2^13)	1048536.0	0.0	0.0
0	VEB_OccOut(2^13)	16.0	0.0	0.0
0	ABB_OccOut(2^12)	262160.0	0.0	0.0
0	AVL_OccOut(2^12)	2369824.0	0.0	0.0
0	SPL_OccOut(2^12)	1048504.0	0.0	0.0
0	VEB_OccOut(2^12)	16.0	0.0	0.0
0	ABB_OccOut(2^11)	131088.0	0.0	0.0
0	AVL_OccOut(2^11)	2369824.0	0.0	0.0
0	SPL_OccOut(2^11)	1048472.0	0.0	0.0
0	VEB_OccOut(2^11)	16.0	0.0	0.0
0	ABB_OccOut(2^10)	65552.0	0.0	0.0
0	AVL_OccOut(2^10)	2369824.0	0.0	0.0
0	SPL_OccOut(2^10)	1048440.0	0.0	0.0
0	VEB_OccOut(2^10)	16.0	0.0	0.0
TIME in
0	ABB_Time_insert(2^10)	3.0	0.0	0.0
0	AVL_Time_insert(2^10)	19.0	0.0	0.0
0	SPL_Time_insert(2^10)	5.0	0.0	0.0
0	VEB_Time_insert(2^10)	1.0	0.0	0.0
0	ABB_Time_insert(2^11)	0.0	0.0	NaN
0	AVL_Time_insert(2^11)	33.0	0.0	0.0
0	SPL_Time_insert(2^11)	1.0	0.0	0.0
0	VEB_Time_insert(2^11)	0.0	0.0	NaN
0	ABB_Time_insert(2^12)	1.0	0.0	0.0
0	AVL_Time_insert(2^12)	152.0	0.0	0.0
0	SPL_Time_insert(2^12)	2.0	0.0	0.0
0	VEB_Time_insert(2^12)	0.0	0.0	NaN
0	ABB_Time_insert(2^13)	1.0	0.0	0.0
0	AVL_Time_insert(2^13)	538.0	0.0	0.0
0	SPL_Time_insert(2^13)	1.0	0.0	0.0
0	VEB_Time_insert(2^13)	0.0	0.0	NaN
0	ABB_Time_insert(2^14)	2.0	0.0	0.0
0	AVL_Time_insert(2^14)	2866.0	0.0	0.0
0	SPL_Time_insert(2^14)	2.0	0.0	0.0
0	VEB_Time_insert(2^14)	0.0	0.0	NaN
0	ABB_Time_insert(2^15)	5.0	0.0	0.0
0	AVL_Time_insert(2^15)	14189.0	0.0	0.0
0	SPL_Time_insert(2^15)	4.0	0.0	0.0
0	VEB_Time_insert(2^15)	0.0	0.0	NaN
TIME out
0	ABB_Time_deleting(2^14)	6.0	0.0	0.0
0	AVL_Time_deleting(2^14)	0.0	0.0	NaN
0	SPL_Time_deleting(2^14)	3.0	0.0	0.0
0	VEB_Time_deleting(2^14)	1.0	0.0	0.0
0	ABB_Time_deleting(2^13)	0.0	0.0	NaN
0	AVL_Time_deleting(2^13)	0.0	0.0	NaN
0	SPL_Time_deleting(2^13)	1.0	0.0	0.0
0	VEB_Time_deleting(2^13)	1.0	0.0	0.0
0	ABB_Time_deleting(2^12)	1.0	0.0	0.0
0	AVL_Time_deleting(2^12)	0.0	0.0	NaN
0	SPL_Time_deleting(2^12)	0.0	0.0	NaN
0	VEB_Time_deleting(2^12)	0.0	0.0	NaN
0	ABB_Time_deleting(2^11)	0.0	0.0	NaN
0	AVL_Time_deleting(2^11)	0.0	0.0	NaN
0	SPL_Time_deleting(2^11)	1.0	0.0	0.0
0	VEB_Time_deleting(2^11)	0.0	0.0	NaN
0	ABB_Time_deleting(2^10)	0.0	0.0	NaN
0	AVL_Time_deleting(2^10)	0.0	0.0	NaN
0	SPL_Time_deleting(2^10)	0.0	0.0	NaN
0	VEB_Time_deleting(2^10)	0.0	0.0	NaN
0	ABB_Time_erased	1.0	0.0	0.0
0	AVL_Time_erased	0.0	0.0	NaN
0	SPL_Time_erased	1.0	0.0	0.0
0	VEB_Time_erased	0.0	0.0	NaN
TIME successful search
0	ABB_Time_successfulSearch(2^10)	6.0	0.0	0.0
0	AVL_Time_successfulSearch(2^10)	4.0	0.0	0.0
0	SPL_Time_insert(2^10)	6.0	0.0	0.0
0	VEB_Time_insert(2^10)	1.0	0.0	0.0
0	ABB_Time_successfulSearch(2^11)	2.0	0.0	0.0
0	AVL_Time_successfulSearch(2^11)	2.0	0.0	0.0
0	SPL_Time_insert(2^11)	1.0	0.0	0.0
0	VEB_Time_insert(2^11)	0.0	0.0	NaN
0	ABB_Time_successfulSearch(2^12)	2.0	0.0	0.0
0	AVL_Time_successfulSearch(2^12)	1.0	0.0	0.0
0	SPL_Time_insert(2^12)	1.0	0.0	0.0
0	VEB_Time_insert(2^12)	0.0	0.0	NaN
0	ABB_Time_successfulSearch(2^13)	1.0	0.0	0.0
0	AVL_Time_successfulSearch(2^13)	1.0	0.0	0.0
0	SPL_Time_insert(2^13)	1.0	0.0	0.0
0	VEB_Time_insert(2^13)	0.0	0.0	NaN
0	ABB_Time_successfulSearch(2^14)	1.0	0.0	0.0
0	AVL_Time_successfulSearch(2^14)	1.0	0.0	0.0
0	SPL_Time_insert(2^14)	1.0	0.0	0.0
0	VEB_Time_insert(2^14)	0.0	0.0	NaN
0	ABB_Time_successfulSearch(2^15)	1.0	0.0	0.0
0	AVL_Time_successfulSearch(2^15)	1.0	0.0	0.0
0	SPL_Time_insert(2^15)	1.0	0.0	0.0
0	VEB_Time_insert(2^15)	0.0	0.0	NaN
TIME unfavorable search
0	ABB_Time_unfavorableSearch(2^10)	8.0	0.0	0.0
0	AVL_Time_unfavorableSearch(2^10)	3.0	0.0	0.0
0	SPL_Time_unfavorableSearch(2^10)	1.0	0.0	0.0
0	VEB_Time_unfavorableSearch(2^10)	1.0	0.0	0.0
0	ABB_Time_unfavorableSearch(2^11)	1.0	0.0	0.0
0	AVL_Time_unfavorableSearch(2^11)	1.0	0.0	0.0
0	SPL_Time_unfavorableSearch(2^11)	1.0	0.0	0.0
0	VEB_Time_unfavorableSearch(2^11)	0.0	0.0	NaN
0	ABB_Time_unfavorableSearch(2^12)	0.0	0.0	NaN
0	AVL_Time_unfavorableSearch(2^12)	1.0	0.0	0.0
0	SPL_Time_unfavorableSearch(2^12)	1.0	0.0	0.0
0	VEB_Time_unfavorableSearch(2^12)	0.0	0.0	NaN
0	ABB_Time_unfavorableSearch(2^13)	1.0	0.0	0.0
