Iteracion	Nombre	Promedio	Desviacion	Error(2sigma/raiz(n)*promedio)
Test 0
Occupation In
0	ABB_OccIn(2^10)	65552,0	0,0	0,0
0	AVL_OccIn(2^10)	73856,0	0,0	0,0
0	SPL_OccIn(2^10)	32824,0	0,0	0,0
0	VEB_OccIn(2^10)	16,0	0,0	0,0
0	ABB_OccIn(2^11)	131088,0	0,0	0,0
0	AVL_OccIn(2^11)	148176,0	0,0	0,0
0	SPL_OccIn(2^11)	65592,0	0,0	0,0
0	VEB_OccIn(2^11)	16,0	0,0	0,0
0	ABB_OccIn(2^12)	262160,0	0,0	0,0
0	AVL_OccIn(2^12)	295984,0	0,0	0,0
0	SPL_OccIn(2^12)	131128,0	0,0	0,0
0	VEB_OccIn(2^12)	16,0	0,0	0,0
0	ABB_OccIn(2^13)	524304,0	0,0	0,0
0	AVL_OccIn(2^13)	593264,0	0,0	0,0
0	SPL_OccIn(2^13)	262200,0	0,0	0,0
0	VEB_OccIn(2^13)	16,0	0,0	0,0
0	ABB_OccIn(2^14)	1048592,0	0,0	0,0
0	AVL_OccIn(2^14)	1185648,0	0,0	0,0
0	SPL_OccIn(2^14)	524312,0	0,0	0,0
0	VEB_OccIn(2^14)	16,0	0,0	0,0
0	ABB_OccIn(2^15)	2097168,0	0,0	0,0
0	AVL_OccIn(2^15)	2369824,0	0,0	0,0
0	SPL_OccIn(2^15)	1048600,0	0,0	0,0
0	VEB_OccIn(2^15)	16,0	0,0	0,0
Occupation Out
0	ABB_OccOut(2^14)	1048592,0	0,0	0,0
0	AVL_OccOut(2^14)	2369824,0	0,0	0,0
0	SPL_OccOut(2^14)	1048568,0	0,0	0,0
0	VEB_OccOut(2^14)	16,0	0,0	0,0
0	ABB_OccOut(2^13)	524304,0	0,0	0,0
0	AVL_OccOut(2^13)	2369824,0	0,0	0,0
0	SPL_OccOut(2^13)	1048536,0	0,0	0,0
0	VEB_OccOut(2^13)	16,0	0,0	0,0
0	ABB_OccOut(2^12)	262160,0	0,0	0,0
0	AVL_OccOut(2^12)	2369824,0	0,0	0,0
0	SPL_OccOut(2^12)	1048504,0	0,0	0,0
0	VEB_OccOut(2^12)	16,0	0,0	0,0
0	ABB_OccOut(2^11)	131088,0	0,0	0,0
0	AVL_OccOut(2^11)	2369824,0	0,0	0,0
0	SPL_OccOut(2^11)	1048472,0	0,0	0,0
0	VEB_OccOut(2^11)	16,0	0,0	0,0
0	ABB_OccOut(2^10)	65552,0	0,0	0,0
0	AVL_OccOut(2^10)	2369824,0	0,0	0,0
0	SPL_OccOut(2^10)	1048440,0	0,0	0,0
0	VEB_OccOut(2^10)	16,0	0,0	0,0
TIME in
0	ABB_Time_insert(2^10)	3283521,0	0,0	0,0
0	AVL_Time_insert(2^10)	1,9858041E7	0,0	0,0
0	SPL_Time_insert(2^10)	5322885,0	0,0	0,0
0	VEB_Time_insert(2^10)	412765,0	0,0	0,0
0	ABB_Time_insert(2^11)	245589,0	0,0	0,0
0	AVL_Time_insert(2^11)	5,109977E7	0,0	0,0
0	SPL_Time_insert(2^11)	1260357,0	0,0	0,0
0	VEB_Time_insert(2^11)	144623,0	0,0	0,0
0	ABB_Time_insert(2^12)	817213,0	0,0	0,0
0	AVL_Time_insert(2^12)	2,0820859E8	0,0	0,0
0	SPL_Time_insert(2^12)	1896131,0	0,0	0,0
0	VEB_Time_insert(2^12)	284471,0	0,0	0,0
0	ABB_Time_insert(2^13)	1106666,0	0,0	0,0
0	AVL_Time_insert(2^13)	5,39186949E8	0,0	0,0
0	SPL_Time_insert(2^13)	715466,0	0,0	0,0
0	VEB_Time_insert(2^13)	5528,0	0,0	0,0
0	ABB_Time_insert(2^14)	2071946,0	0,0	0,0
0	AVL_Time_insert(2^14)	3,815361316E9	0,0	0,0
0	SPL_Time_insert(2^14)	1743151,0	0,0	0,0
0	VEB_Time_insert(2^14)	13421,0	0,0	0,0
0	ABB_Time_insert(2^15)	5511524,0	0,0	0,0
0	AVL_Time_insert(2^15)	1,5135069419E10	0,0	0,0
0	SPL_Time_insert(2^15)	5761054,0	0,0	0,0
0	VEB_Time_insert(2^15)	35813,0	0,0	0,0
TIME out
0	ABB_Time_deleting(2^14)	3752265,0	0,0	0,0
0	AVL_Time_deleting(2^14)	430,0	0,0	0,0
0	SPL_Time_deleting(2^14)	2791331,0	0,0	0,0
0	VEB_Time_deleting(2^14)	1687289,0	0,0	0,0
0	ABB_Time_deleting(2^13)	477258,0	0,0	0,0
0	AVL_Time_deleting(2^13)	42,0	0,0	0,0
0	SPL_Time_deleting(2^13)	411560,0	0,0	0,0
0	VEB_Time_deleting(2^13)	284647,0	0,0	0,0
0	ABB_Time_deleting(2^12)	1302452,0	0,0	0,0
0	AVL_Time_deleting(2^12)	329,0	0,0	0,0
0	SPL_Time_deleting(2^12)	105367,0	0,0	0,0
0	VEB_Time_deleting(2^12)	134,0	0,0	0,0
0	ABB_Time_deleting(2^11)	173168,0	0,0	0,0
0	AVL_Time_deleting(2^11)	130,0	0,0	0,0
0	SPL_Time_deleting(2^11)	21301,0	0,0	0,0
0	VEB_Time_deleting(2^11)	94,0	0,0	0,0
0	ABB_Time_deleting(2^10)	85679,0	0,0	0,0
0	AVL_Time_deleting(2^10)	100,0	0,0	0,0
0	SPL_Time_deleting(2^10)	12675,0	0,0	0,0
0	VEB_Time_deleting(2^10)	74,0	0,0	0,0
0	ABB_Time_erased	1645591,0	0,0	0,0
0	AVL_Time_erased	202,0	0,0	0,0
0	SPL_Time_erased	768229,0	0,0	0,0
0	VEB_Time_erased	41733,0	0,0	0,0
TIME successful search
0	ABB_Time_successfulSearch(2^10)	1,3494313E7	0,0	0,0
0	AVL_Time_successfulSearch(2^10)	6659926,0	0,0	0,0
0	SPL_Time_insert(2^10)	6426288,0	0,0	0,0
0	VEB_Time_insert(2^10)	891832,0	0,0	0,0
0	ABB_Time_successfulSearch(2^11)	1619092,0	0,0	0,0
0	AVL_Time_successfulSearch(2^11)	1855004,0	0,0	0,0
0	SPL_Time_insert(2^11)	1872501,0	0,0	0,0
0	VEB_Time_insert(2^11)	608436,0	0,0	0,0
0	ABB_Time_successfulSearch(2^12)	1204184,0	0,0	0,0
0	AVL_Time_successfulSearch(2^12)	1141837,0	0,0	0,0
0	SPL_Time_insert(2^12)	1358993,0	0,0	0,0
0	VEB_Time_insert(2^12)	113,0	0,0	0,0
0	ABB_Time_successfulSearch(2^13)	947345,0	0,0	0,0
0	AVL_Time_successfulSearch(2^13)	1096472,0	0,0	0,0
0	SPL_Time_insert(2^13)	1125374,0	0,0	0,0
0	VEB_Time_insert(2^13)	36,0	0,0	0,0
0	ABB_Time_successfulSearch(2^14)	952698,0	0,0	0,0
0	AVL_Time_successfulSearch(2^14)	1007979,0	0,0	0,0
0	SPL_Time_insert(2^14)	1144934,0	0,0	0,0
0	VEB_Time_insert(2^14)	70,0	0,0	0,0
0	ABB_Time_successfulSearch(2^15)	932658,0	0,0	0,0
0	AVL_Time_successfulSearch(2^15)	1064335,0	0,0	0,0
0	SPL_Time_insert(2^15)	1230303,0	0,0	0,0
0	VEB_Time_insert(2^15)	35,0	0,0	0,0
TIME unfavorable search
0	ABB_Time_unfavorableSearch(2^10)	9012488,0	0,0	0,0
0	AVL_Time_unfavorableSearch(2^10)	3745416,0	0,0	0,0
0	SPL_Time_unfavorableSearch(2^10)	1251703,0	0,0	0,0
0	VEB_Time_unfavorableSearch(2^10)	348637,0	0,0	0,0
0	ABB_Time_unfavorableSearch(2^11)	1107910,0	0,0	0,0
0	AVL_Time_unfavorableSearch(2^11)	1105415,0	0,0	0,0
0	SPL_Time_unfavorableSearch(2^11)	951873,0	0,0	0,0
0	VEB_Time_unfavorableSearch(2^11)	619296,0	0,0	0,0
0	ABB_Time_unfavorableSearch(2^12)	617202,0	0,0	0,0
0	AVL_Time_unfavorableSearch(2^12)	635055,0	0,0	0,0
